iter	Passed	Remaining
0	137	137682
1	140	69970
2	143	47526
3	145	36136
4	146	29126
5	149	24772
6	150	21356
7	153	18975
8	154	16960
9	156	15455
10	158	14244
11	160	13241
12	161	12297
13	164	11594
14	166	10946
15	168	10369
16	170	9842
17	171	9374
18	173	8949
19	174	8563
20	176	8215
21	177	7895
22	179	7606
23	180	7329
24	181	7075
25	182	6836
26	183	6613
27	184	6409
28	185	6212
29	186	6028
30	187	5853
31	188	5696
32	189	5540
33	189	5390
34	190	5248
35	190	5112
36	191	4986
37	192	4865
38	192	4748
39	193	4636
40	193	4530
41	194	4428
42	194	4330
43	194	4236
44	195	4146
45	195	4061
46	196	3978
47	196	3899
48	196	3823
49	197	3750
50	197	3681
51	198	3614
52	198	3550
53	199	3488
54	199	3428
55	199	3370
56	200	3315
57	200	3261
58	201	3209
59	201	3158
60	201	3109
61	202	3062
62	202	3016
63	203	2972
64	203	2928
65	203	2886
66	204	2845
67	204	2803
68	204	2765
69	205	2728
70	205	2693
71	206	2659
72	206	2626
73	207	2593
74	207	2561
75	208	2531
76	208	2502
77	209	2474
78	209	2446
79	210	2417
80	210	2390
81	211	2364
82	211	2338
83	212	2312
84	212	2285
85	212	2261
86	213	2235
87	213	2212
88	213	2189
89	214	2166
90	214	2144
91	215	2122
92	215	2101
93	215	2080
94	216	2060
95	216	2040
96	217	2020
97	217	2001
98	217	1982
99	218	1964
100	218	1946
101	218	1927
102	219	1910
103	219	1894
104	220	1877
105	220	1861
106	221	1845
107	221	1829
108	221	1814
109	222	1798
110	222	1784
111	223	1769
112	223	1754
113	223	1740
114	224	1726
115	224	1712
116	225	1698
117	225	1685
118	225	1671
119	226	1659
120	226	1646
121	227	1633
122	227	1620
123	227	1608
124	228	1596
125	228	1584
126	228	1573
127	229	1561
128	229	1549
129	229	1538
130	230	1527
131	230	1517
132	231	1506
133	231	1496
134	231	1486
135	232	1475
136	232	1465
137	233	1455
138	233	1446
139	233	1436
140	234	1427
141	234	1418
142	235	1409
143	235	1400
144	235	1391
145	236	1382
146	236	1373
147	237	1365
